"Name","Surname","Gender","DoB","Faculty","UG.PG","FakePhone","FakeID","Age"
"Rhett","Moyer","M",2000-08-05,6,"UG","(733) 359-2948",37284297,24
"Cale","Larson","M",2004-01-10,4,"UG","(937) 403-4565",38653502,21
"Lilly","Herman","F",2000-05-06,8,"UG","(487) 527-1043",37466886,25
"Juliette","Lowe","F",1982-01-05,4,"PG","(429) 589-8177",34183023,43
"Melvin","Ponce","M",2003-05-18,4,"UG","(963) 486-4069",43059611,22
"Andres","Farley","M",2004-08-04,10,"UG","(877) 448-8019",39003672,20
"Giovanny","Herrera","M",2002-07-03,6,"UG","(643) 417-0777",33928587,22
"Gordon","Ortiz","M",1986-05-04,4,"PG","(694) 970-1322",33398095,39
"Kiana","Pace","F",2000-01-21,8,"UG","(760) 525-5885",43696992,25
"Emmy","Fields","F",1977-10-14,2,"PG","(734) 589-5383",42242037,47
"Jennifer","Franco","",2000-12-28,10,"UG","(478) 431-8699",44161728,24
"Jaden","Rangel","F",2003-12-19,10,"UG","(534) 560-4120",48411825,21
"Brody","Arellano","M",2002-11-05,4,"UG","(647) 750-4371",42858270,22
"Maia","Fisher","F",1967-08-24,7,"PG","(395) 634-5835",34827621,57
"Paige","Summers","F",1970-04-11,4,"PG","(968) 233-8927",43571952,55
"Catalina","Parks","F",2001-07-21,10,"UG","(782) 534-5703",40161434,23
"Arianna","Dickerson","",2001-04-08,1,"UG","(619) 274-9238",42510144,24
"Jaime","Kerr","",2001-07-28,6,"UG","(483) 956-2773",40963660,23
"Cheyenne","Downs","F",1975-10-04,1,"","(871) 266-2868",51187726,49
"Grant","Morales","M",2003-09-11,1,"UG","(937) 716-1334",44391386,21
"Boston","Farrell","M",2000-11-17,4,"UG","(372) 880-8579",43873696,24
"Janelle","Gibson","F",2005-02-24,3,"UG","(398) 892-0699",46553879,20
"Andreas","Lucas","M",2000-09-18,8,"UG","(799) 260-9986",33368686,24
"Santino","Arellano","M",2002-04-29,1,"UG","(377) 957-6785",49050428,23
"Beckett","Vasquez","M",2002-02-02,6,"UG","(586) 935-4227",46224777,23
"Kenna","Roy","F",2003-10-09,5,"UG","(779) 739-1024",47623818,21
"Eliza","Mccall","F",2000-10-06,10,"UG","(927) 769-2202",32812014,24
"Irene","Collins","F",1970-08-08,10,"PG","(414) 344-4912",45315334,54
"Marlee","Love","F",2001-11-01,1,"UG","(933) 267-9216",45977459,23
"Araceli","Richmond","F",1971-03-23,4,"PG","(237) 870-8342",48848008,54
"Daniela","Kramer","F",2003-01-03,4,"UG","(590) 224-1481",40989446,22
"Alyson","Mullen","F",2004-05-21,1,"UG","(646) 439-8737",50410428,21
"Stacy","Patrick","F",2002-01-27,1,"UG","(659) 716-1686",46863434,23
"Marlie","Cannon","F",1989-03-30,5,"PG","(328) 742-8489",34343555,36
"Denisse","Washington","F",2002-02-09,1,"UG","(218) 534-7113",45644252,23
"Bobby","Armstrong","M",2003-06-25,6,"UG","(906) 951-6335",37694932,21
"Damari","Beck","M",2002-04-02,4,"UG","(647) 280-9516",40432621,23
"Quinn","Hobbs","M",2002-04-07,6,"UG","(383) 260-6659",47907053,23
"Halle","Nixon","F",2004-11-15,5,"UG","(381) 311-4483",40443344,20
"Sidney","Odom","M",2003-05-20,10,"UG","(645) 979-3286",42243516,22
"Katelynn","Gibson","F",2002-09-14,10,"UG","(776) 741-4899",40654748,22
"Camila","Carpenter","F",2000-01-19,5,"UG","(268) 932-8694",35950378,25
"Chase","Little","M",2003-01-04,10,"UG","(401) 548-1864",39011082,22
"Crystal","Wood","F",2002-05-09,4,"UG","",37231050,23
"Lilyana","Lambert","F",1985-07-21,5,"PG","(539) 814-7440",38678688,39
"Silas","Stark","M",2003-11-07,6,"UG","(562) 407-0784",34195575,21
"Yaritza","Gilbert","F",2000-09-05,5,"UG","(863) 639-7324",46296206,24
"Laci","Conner","F",2005-09-11,10,"UG","(465) 694-8219",45425724,19
"Randy","Mccullough","M",2005-11-10,2,"UG","(725) 387-3282",45775299,19
"Destiney","Macias","F",1999-12-05,1,"UG","(692) 933-5395",50823187,25
"Lina","Good","F",2001-04-14,7,"UG","(887) 475-9010",39731269,24
"Carlee","Pierce","F",2001-10-29,3,"UG","(267) 742-0882",39483880,23
"Slade","Atkins","M",1999-10-15,1,"UG","(814) 385-5475",46774148,25
"Julianna","Crosby","F",1969-11-24,1,"PG","(406) 947-4675",46890401,55
"Mike","Steele","M",2001-07-26,10,"UG","(639) 688-5979",39687350,23
"Odin","Simmons","M",2001-08-15,4,"UG","(639) 481-2640",49716620,23
"Payton","Reynolds","M",2005-04-13,5,"UG","(890) 944-7767",37125323,20
"Landyn","Campbell","M",2001-05-18,3,"UG","(713) 597-0319",45869558,24
"Kaitlynn","Snyder","F",1971-01-29,3,"PG","(869) 487-3717",32140599,54
"Quintin","Huff","M",2000-12-31,6,"UG","(726) 378-8091",49095056,24
"Alyssa","Estrada","F",1987-04-12,1,"PG","(814) 433-1616",32471616,38
"Sierra","Mooney","F",1982-12-02,5,"UG","(221) 816-2521",44722485,42
"Mike","Kaufman","M",2003-10-18,4,"UG","(826) 514-5666",36396292,21
"Alana","Dalton","F",1985-02-16,10,"PG","(990) 813-6020",40676308,40
"Esperanza","Chan","F",2005-11-14,2,"UG","(663) 971-4509",32993839,19
"Jordan","Huerta","M",2005-09-03,1,"UG","(490) 405-5385",50357994,19
"Kenzie","Chaney","F",2001-06-09,7,"UG","(557) 789-5873",50327173,23
"Mylee","Walls","F",2002-07-05,5,"UG","(482) 894-9172",34112588,22
"Jadon","Obrien","M",2002-12-24,5,"UG","(598) 689-6510",40047049,22
"Janelle","Lucas","F",2000-05-10,3,"UG","(863) 927-2415",48478541,25
"Ayana","Roberts","F",2005-01-21,6,"UG","(299) 372-7925",48207759,20
"Payton","Miller","M",1967-06-03,7,"PG","(731) 861-9230",36587598,57
"Ean","Shannon","M",2003-10-17,4,"UG","(697) 490-1205",42692276,21
"Dane","Valdez","M",1968-06-27,4,"PG","(512) 520-7654",45950824,56
"Chanel","Huerta","F",2005-11-08,5,"UG","(493) 805-8103",46589617,19
"Taniya","Glenn","F",2004-05-13,1,"UG","(517) 232-0558",42894591,21
"Delilah","Lynch","F",2005-02-14,10,"UG","(855) 215-5281",44201124,20
"Yazmin","Raymond","F",1969-07-31,2,"PG","(809) 966-5998",36481649,55
"Skyla","Fox","F",1996-03-20,2,"PG","(935) 721-2978",36668569,29
"Aurora","Duran","F",1985-12-02,1,"UG","(662) 207-7639",34619705,39
"Shaniya","Shepherd","F",1999-12-16,10,"UG","(602) 883-4135",37933799,25
"Jan","Sheppard","M",2000-05-25,4,"UG","(523) 313-9929",40972540,25
"Triston","Hayes","M",2002-03-29,4,"UG","(375) 932-0490",44486005,23
"Curtis","Delacruz","M",2004-05-31,9,"UG","",48093569,21
"Kale","Villarreal","M",2003-07-11,1,"UG","(336) 822-2631",48875007,21
"Clark","Tyler","M",2001-07-27,5,"UG","(371) 202-3828",48908541,23
"Alexzander","Bender","M",1994-09-19,4,"PG","(306) 297-2117",38682955,30
"Savion","Cruz","M",2003-01-22,1,"UG","(354) 916-6326",38394023,22
"Phillip","Thomas","M",2000-02-17,6,"","(769) 776-4904",37248992,25
"Stacy","Crosby","F",2000-01-11,3,"UG","(541) 755-0819",42763272,25
"Nehemiah","Mora","M",2002-09-24,5,"UG","(934) 925-5428",NA,22
"Beckham","Simon","M",2003-07-12,8,"UG","",37818305,21
"Desiree","Elliott","F",2001-05-20,5,"UG","(766) 409-8757",43171834,24
"Caleb","Ortiz","M",2005-06-12,6,"UG","(419) 893-9459",42333932,19
"Lucy","Rangel","",2005-05-06,10,"UG","(555) 258-6542",33381464,20
"Neil","Vasquez","M",1984-03-10,6,"PG","(368) 781-2770",45824673,41
"Kayden","Wiley","F",1998-09-08,1,"PG","(517) 232-0558",47264741,26
"Moses","Ortega","M",2005-10-05,1,"UG","(353) 423-3081",50868489,19
"Karson","Baldwin","M",2003-06-27,6,"UG","(254) 784-3921",41898246,21
"Sharon","Osborne","F",1999-12-20,3,"UG","(602) 915-1140",33921127,25
"Lola","Douglas","F",2000-06-06,1,"UG","(245) 642-9894",35750578,24
"Maeve","Baxter","F",2003-05-27,10,"UG","(789) 540-9870",32431551,22
"Hugo","Brown","M",2002-07-10,5,"UG","(491) 603-4266",40037635,22
"Sarah","Hughes","F",2005-07-05,3,"UG","(566) 675-6216",50520430,19
"Hayley","Jones","F",1999-10-09,3,"UG","(587) 702-3704",40881119,25
"Rosemary","Kline","F",2002-01-02,2,"UG","(912) 724-7010",42748843,23
"Macey","Tyler","F",2005-06-23,5,"UG","(413) 737-6724",46285731,19
"Augustus","Mullins","M",2004-06-26,1,"UG","(924) 681-6379",46105484,20
"Reagan","Greene","F",1988-03-11,2,"UG","(576) 363-9956",40460561,37
"Jaidyn","Mckay","F",1996-08-02,1,"PG","(916) 704-7122",41092673,28
"Jaycee","Sawyer","F",1992-03-18,3,"UG","(748) 225-8390",48549152,33
"Shaylee","Roy","F",2004-05-24,5,"UG","(282) 308-1337",41223561,21
"Carsen","Jennings","M",2003-12-20,3,"UG","(694) 614-7311",43556250,21
"Arielle","Velasquez","F",1968-04-08,3,"UG","(732) 922-0233",38094594,57
"Maritza","Fry","F",2003-06-07,5,"UG","(212) 411-5616",36098206,21
"Ramiro","Key","M",1992-07-06,3,"PG","(789) 546-2082",47290516,32
"Karlee","Benton","F",2003-11-20,3,"UG","(567) 607-2974",32521668,21
"Andrea","Petersen","F",1987-11-08,5,"UG","(505) 530-7158",37958611,37
"Daisy","Watson","F",1963-11-22,2,"PG","(659) 689-3698",47113318,61
"Nash","David","M",2005-02-24,10,"UG","(978) 489-4463",40181751,20
"Michelle","Morton","F",1982-12-15,5,"PG","(475) 244-0697",49138911,42
"Tiara","Watts","F",2003-08-25,3,"UG","(450) 870-8942",49165327,21
"April","Hebert","F",2001-04-01,10,"UG","(588) 874-4359",48186000,24
"Carmen","Randall","F",2004-05-14,10,"UG","(952) 412-2878",35600862,21
"Ashley","Humphrey","F",2001-04-20,5,"UG","(363) 947-3935",33701326,24
"Alijah","Riggs","M",2002-05-06,7,"UG","(963) 609-8656",49770174,23
"Reese","Matthews","F",2005-05-21,8,"UG","(495) 491-4386",47189238,20
"Addison","Nichols","M",1995-03-14,1,"UG","(369) 337-3555",49784313,30
"Jackson","Mcgee","",2003-10-18,1,"UG","(929) 386-7249",41591762,21
"Haylee","Bass","F",1979-07-03,8,"UG","(890) 592-8713",41086655,45
"Rebekah","Mccarty","F",2004-03-29,5,"UG","(722) 835-4868",38587673,21
"Elisha","Spencer","M",2002-03-18,1,"UG","(392) 754-7625",44465615,23
"Marquise","Cruz","M",2005-06-03,5,"UG","",32555881,19
"Kaylah","Wilcox","F",1984-03-20,7,"UG","(856) 375-3703",39169500,41
"Ashley","Dougherty","F",1971-04-11,1,"PG","(633) 904-1816",49863089,54
"Adrian","Woodard","M",2004-02-13,3,"UG","(953) 852-3753",42599073,21
"Marcos","Russell","M",2004-02-11,3,"UG","(381) 913-8085",32579396,21
"Kennedy","Pace","",2003-05-10,5,"UG","(454) 437-5270",48188716,22
"Ava","Lynn","F",1988-10-08,9,"PG","(213) 259-6164",43673823,36
"Leon","Byrd","M",1999-10-09,4,"UG","(556) 899-0587",50823490,25
"Harley","Snyder","M",2001-02-14,1,"UG","(461) 782-4764",45222290,24
"Zaria","Reyes","F",1973-06-14,6,"PG","(769) 247-6294",41357400,51
"Javion","Arnold","M",1986-04-09,6,"PG","(763) 680-3442",43130604,39
"Will","Dawson","M",1990-03-26,6,"PG","(359) 299-4787",34746364,35
"Victoria","Armstrong","F",2001-03-23,10,"UG","(209) 257-0510",35497035,24
"Rigoberto","Solis","M",2003-05-21,1,"UG","(859) 548-3192",40281544,22
"Aarav","Holden","M",2001-09-23,6,"UG","(817) 203-3192",46036138,23
"Julio","Payne","M",1989-12-05,3,"PG","(583) 515-1707",46542621,35
"London","Franco","",2000-03-17,7,"UG","(211) 685-9104",38265024,25
"Russell","Fritz","M",2002-12-11,4,"UG","(576) 245-6128",36827151,22
"Deacon","Weber","M",2004-04-12,9,"UG","(895) 261-7670",50628932,21
"Justice","Leon","F",2004-08-03,3,"UG","(768) 943-3495",36250414,20
"Gavin","Lowery","M",2001-10-08,6,"UG","(990) 581-3633",50099727,23
"Harry","Velez","M",1999-11-28,4,"UG","(351) 329-3864",43849760,25
"Justin","Robles","M",2001-11-28,6,"UG","(839) 656-8838",42617325,23
"Bailey","Avila","M",2003-01-30,7,"UG","(985) 500-1754",38265955,22
"Maren","Oneill","F",1975-03-25,3,"UG","(481) 327-9047",50726968,50
"Karma","Doyle","F",2006-01-02,10,"UG","(255) 541-4386",50473257,19
"Dawson","Gardner","M",1989-01-15,6,"PG","(304) 468-3327",33081941,36
"Nathaniel","Murphy","M",1987-05-08,8,"PG","(922) 232-1934",44375235,38
"Miley","Ware","F",2000-09-26,7,"UG","(591) 393-1490",33238769,24
"Raul","Hopkins","M",2005-03-31,2,"UG","(895) 794-9101",32152892,20
"Violet","Shaw","F",2000-10-24,4,"UG","(393) 544-8829",50212047,24
"Freddy","Carney","M",2003-05-27,5,"UG","(511) 466-2462",42541202,22
"Shaylee","Lloyd","F",2001-02-23,1,"UG","(415) 775-2240",32243100,24
"Shayla","Shah","F",2003-03-25,5,"UG","(630) 617-5209",32398415,22
"Walker","Wilkins","M",1988-10-26,6,"PG","(895) 375-1211",43469789,36
"Randy","Bates","M",1991-01-25,6,"PG","(338) 256-2523",33668428,34
"Audrey","Hanna","F",2005-01-08,5,"UG","(662) 290-8010",43793098,20
"Lorena","Hendrix","F",1964-06-08,1,"PG","(286) 840-5240",44478909,60
"Porter","Ramirez","M",1991-11-20,1,"UG","(272) 261-8244",48337329,33
"Violet","Chase","F",2000-01-10,10,"UG","(749) 520-5048",37981186,25
"Haiden","Acevedo","M",2005-05-05,6,"UG","(706) 726-4768",41042295,20
"Trace","Stanton","M",2005-06-27,5,"UG","(710) 550-8695",39796393,19
"Braelyn","Mueller","F",2000-06-13,5,"UG","(958) 444-5659",46963891,24
"Deja","Cummings","F",2000-02-01,10,"UG","(764) 425-2914",33709930,25
"Sylvia","Mckinney","F",2001-08-07,1,"UG","(435) 627-2560",50020134,23
"Aryan","Lyons","M",2002-11-29,2,"UG","(373) 795-7054",42336435,22
"Roman","Riggs","M",2001-08-14,4,"UG","(441) 779-5729",41827623,23
"Rachael","Rojas","F",2001-07-01,10,"UG","(872) 372-2395",35463229,23
"Nikolai","Velasquez","M",2005-08-05,8,"UG","(867) 898-2031",39445126,19
"Saige","Perkins","F",2002-05-14,1,"UG","(436) 292-5741",44620856,23
"Salvador","Mcdonald","M",2001-12-23,3,"UG","(703) 574-0239",35522706,23
"Gary","Davidson","M",2000-10-05,4,"UG","(334) 609-9502",46861498,24
"Glenn","King","M",1983-03-25,4,"UG","(598) 809-1101",44863086,42
"Jayce","Morgan","M",1983-01-13,10,"UG","(891) 899-5320",32997026,42
"Ricky","Meyer","M",1964-04-26,5,"PG","(550) 276-4030",33857107,61
"Amiyah","Baird","F",2002-06-13,7,"UG","(442) 442-2742",41358619,22
"Warren","Oconnell","M",1994-09-22,4,"PG","(838) 212-1938",42403599,30
"Shirley","Camacho","F",2005-10-01,10,"UG","(446) 368-2571",41489004,19
"Justin","Miller","M",2001-08-08,7,"UG","(630) 616-1335",40272073,23
"Micaela","Thompson","F",2005-09-03,1,"UG","(316) 441-3214",48147721,19
"Amelia","Dominguez","F",2002-02-09,5,"UG","(330) 748-7943",48773156,23
"Aedan","Williamson","M",2001-12-18,6,"UG","(709) 500-3820",35763352,23
"Elian","Frey","M",2005-07-15,3,"UG","(486) 493-6152",40189816,19
"Martha","Mcknight","F",2004-07-14,7,"UG","(886) 394-3936",41904702,20
"Kiley","Holt","F",2004-11-26,1,"UG","(387) 717-2616",40092387,20
"Kali","Stokes","F",2003-05-03,3,"UG","(883) 776-7557",40885026,22
"Braedon","Vang","M",1967-06-28,5,"UG","(506) 219-8422",46198306,57
"Brianna","Anderson","F",1999-12-10,2,"UG","(539) 818-8071",39320439,25
"Darian","Hampton","M",1995-08-01,5,"UG","(329) 264-8487",43177220,29
"Quinn","Oconnell","F",2003-01-03,3,"UG","(389) 766-7557",40700492,22
"Maria","Zamora","F",1980-10-19,3,"PG","(689) 416-1396",41793019,44
"Moriah","Mason","F",2005-05-02,3,"UG","(371) 392-6485",41952906,20
"Emiliano","Vargas","M",2005-09-21,4,"UG","(387) 789-4109",50828923,19
"Rhys","Castro","M",1998-07-11,6,"UG","(514) 510-6024",44796295,26
"Leonardo","Willis","M",1984-11-24,3,"PG","(830) 857-8240",48296643,40
"Cohen","Lawson","M",2003-10-25,1,"UG","(902) 876-6543",49331372,21
"Kira","Figueroa","F",2003-01-03,1,"UG","(485) 966-0136",46501835,22
"Zayden","Palmer","M",1979-07-30,6,"UG","(632) 951-9475",43917416,45
"Malakai","Maddox","M",2002-03-08,10,"UG","(614) 398-6114",32991087,23
"Tristan","Clay","M",2000-06-25,4,"UG","(981) 708-9475",40203526,24
"Emma","Waters","F",2001-11-14,3,"UG","(261) 280-0685",36979867,23
"Estrella","Patterson","F",2000-10-11,3,"UG","(832) 391-1724",34296353,24
"Danica","Donaldson","F",2004-08-09,4,"UG","(450) 456-4628",33126642,20
"Seamus","May","M",2006-02-06,5,"UG","(686) 332-7986",36400823,19
"Alisson","Todd","F",1976-01-02,5,"UG","",37723932,49
"Quentin","Calhoun","M",1965-06-25,8,"UG","(823) 877-5065",34047086,59
"Will","Lane","M",2006-01-14,6,"UG","(946) 567-5039",36878291,19
"Declan","Haynes","M",2003-12-17,7,"UG","(838) 830-6483",42643901,21
"Leah","Mcdonald","F",2004-04-24,1,"UG","(517) 232-0558",36187717,21
"Avah","Horne","F",2000-06-29,5,"UG","(554) 701-8817",46550689,24
"Fiona","Hebert","F",1991-04-27,7,"PG","(575) 533-8332",48093387,34
"Nola","Turner","F",2004-03-21,8,"UG","(304) 797-9929",50115621,21
"Jacqueline","Brennan","F",2005-09-24,5,"UG","(519) 559-2975",49901864,19
"Jace","Pineda","M",2000-05-08,7,"UG","",36528029,25
"Tristan","Campbell","M",1968-02-21,8,"UG","(503) 444-4553",48065312,57
"Preston","Pittman","M",2002-09-20,1,"UG","(282) 359-5219",34044087,22
"Annabel","Alexander","F",2000-03-14,5,"UG","(393) 333-3950",43056116,25
"Justice","Vargas","M",2000-07-15,8,"UG","(934) 607-9664",47681496,24
"Elena","Bond","F",2005-02-14,1,"UG","(654) 850-6191",32292735,20
"Marlie","Crosby","F",2002-07-11,3,"UG","(444) 797-8818",48302301,22
"Leticia","Collins","F",1984-08-19,3,"UG","(975) 343-6079",33075520,40
"Irvin","Kim","M",2003-12-23,1,"UG","(799) 359-8320",38076709,21
"Isaias","Noble","M",1982-08-15,10,"UG","(599) 661-9726",48000465,42
"Solomon","Bryant","",1991-06-28,1,"PG","(789) 751-3039",32287380,33
"Aidyn","Avila","M",2002-03-13,3,"UG","(712) 787-1152",39139142,23
"Brenton","Olsen","M",2005-08-09,10,"UG","(754) 507-1433",48331328,19
"Nick","Chan","M",2003-06-24,1,"UG","(536) 732-8111",47826620,21
"Willow","Joseph","F",1999-12-30,7,"UG","(545) 369-6566",46336336,25
"Mckenna","Benton","F",1976-04-12,3,"PG","(446) 664-4301",47899719,49
"Yesenia","Lowe","F",1983-08-05,2,"UG","(444) 592-6985",40364887,41
"Yoselin","Obrien","F",1983-02-16,1,"PG","(731) 880-1018",32974652,42
"Jeffrey","Browning","M",2003-01-16,3,"UG","(681) 377-8965",47703519,22
"Johnathon","Mills","M",2003-06-16,9,"UG","(812) 661-6000",46451778,21
